Date,Site ID,Product ID,Units Sold,Revenue,Discounts,Returns,Customer ID
2024-04-02,XDP5,PRD10002,20,4844.84,764.83,3,CUST200026
2024-04-03,PS3Y,PRD10020,27,9001.49,1639.15,3,CUST200048
2024-04-09,8CGV,PRD10008,23,3122.03,463.83,0,CUST200025
2024-04-09,4CIY,PRD10070,38,11323.57,1275.45,1,CUST200048
2024-04-17,2VLP,PRD10019,44,10382.36,1096.84,3,CUST200040
2024-04-17,M5IG,PRD10052,12,4669.28,769.84,5,CUST200022
2024-04-20,5JSG,PRD10053,12,5619.39,311.6,3,CUST200001
2024-04-21,CX19,PRD10024,49,14799.97,2230.62,1,CUST200041
2024-04-22,A1WJ,PRD10073,42,4634.91,652.37,4,CUST200042
2024-04-22,AM14,PRD10045,40,19964.49,1820.43,0,CUST200036
2024-04-24,PKH1,PRD10017,46,8273.54,1001.61,3,CUST200026
2024-04-25,A11D,PRD10042,18,1435.46,151.01,3,CUST200031
2024-04-25,8CGV,PRD10082,43,8727.03,1122.9,5,CUST200035
2024-04-27,M5IG,PRD10076,20,3775.8,516.11,1,CUST200013
2024-04-27,J7YH,PRD10052,22,8015.3,521.65,1,CUST200047
2024-04-28,SEMC,PRD10064,24,3196.16,636.61,2,CUST200014
2024-04-30,CXUL,PRD10036,5,1647.2,323.85,0,CUST200040
2024-04-30,PS3Y,PRD10059,44,17922.05,2840.5,3,CUST200019
2024-05-01,ZYTJ,PRD10056,27,6815.89,549.38,4,CUST200012
2024-05-01,M5K8,PRD10011,42,12414.53,1617.28,5,CUST200000
2024-05-02,OTOH,PRD10017,34,4063.82,401.33,5,CUST200036
2024-05-02,PS3Y,PRD10064,13,3833.66,277.86,2,CUST200016
2024-05-05,MYZY,PRD10010,6,1363.8,220.51,2,CUST200010
2024-05-05,58KX,PRD10069,33,13116.77,1654.59,0,CUST200023
2024-05-05,EIMV,PRD10099,42,8225.18,883.62,4,CUST200039
2024-05-08,A1WJ,PRD10059,44,11806.64,817.61,4,CUST200002
2024-05-09,5JSG,PRD10098,41,10544.22,1720.47,4,CUST200036
2024-05-09,7EEQ,PRD10081,26,5054.12,860.03,5,CUST200037
2024-05-10,4ZKL,PRD10017,34,6668.62,647.91,2,CUST200041
2024-05-12,HOCN,PRD10077,10,515.27,47.02,5,CUST200004
2024-05-12,GDPP,PRD10056,43,9611.66,1355.83,3,CUST200022
2024-05-14,I3QK,PRD10082,12,465.46,72.68,3,CUST200044
2024-05-15,CX19,PRD10039,26,12994.95,2051.0,4,CUST200000
2024-05-26,A1WJ,PRD10064,15,7106.99,401.58,5,CUST200001
2024-05-28,PKH1,PRD10084,27,8509.4,1620.49,0,CUST200028
2024-05-29,NY20,PRD10008,31,7290.34,760.43,4,CUST200000
2024-05-29,SEMC,PRD10002,21,2152.48,413.58,3,CUST200030
2024-05-31,4CIY,PRD10099,17,6084.95,500.1,4,CUST200043
2024-05-31,0T0P,PRD10012,26,5177.52,1025.24,4,CUST200024
2024-05-31,5JSG,PRD10068,26,7119.95,1133.34,1,CUST200025
2024-05-31,NY20,PRD10096,31,14226.89,2195.83,5,CUST200043
2024-06-02,93TY,PRD10045,43,20284.92,2301.13,5,CUST200012
2024-06-02,GDPP,PRD10057,16,1401.94,80.74,3,CUST200015
2024-06-03,58KX,PRD10019,20,1980.71,194.9,5,CUST200004
2024-06-06,PS3Y,PRD10007,38,18208.83,2444.58,5,CUST200011
2024-06-06,EXQ7,PRD10068,46,6000.84,802.96,5,CUST200027
2024-06-06,XDP5,PRD10047,33,9556.56,935.28,3,CUST200014
2024-06-10,PKH1,PRD10036,31,10977.55,777.42,5,CUST200016
2024-06-11,ID25,PRD10041,16,372.46,40.05,3,CUST200008
2024-06-13,HOCN,PRD10091,21,7820.73,1400.82,3,CUST200013
2024-06-16,PS3Y,PRD10093,39,10659.88,710.78,2,CUST200018
2024-06-16,2VLP,PRD10065,9,1596.81,226.68,1,CUST200027
2024-06-17,30T9,PRD10057,7,2864.85,503.09,5,CUST200043
2024-06-19,7EEQ,PRD10061,15,6400.38,656.15,4,CUST200014
2024-06-20,OTOH,PRD10090,45,14674.32,2480.76,4,CUST200047
2024-06-21,VUZZ,PRD10018,39,13473.82,1559.27,1,CUST200038
2024-06-23,AM14,PRD10058,42,6026.46,469.64,5,CUST200005
2024-06-28,OTOH,PRD10056,6,2454.28,478.91,2,CUST200045
2024-07-03,0T0P,PRD10008,46,18058.28,2142.65,2,CUST200028
2024-07-08,SV87,PRD10017,10,570.39,100.77,0,CUST200003
2024-07-09,M5K8,PRD10044,23,8490.27,1467.48,1,CUST200034
2024-07-10,GHC0,PRD10029,25,7337.47,637.33,4,CUST200049
2024-07-13,PKH1,PRD10025,3,514.46,49.65,3,CUST200029
2024-07-14,GHC0,PRD10082,6,2776.01,491.55,0,CUST200039
2024-07-14,SEMC,PRD10030,36,6277.51,580.41,3,CUST200044
2024-07-21,XDP5,PRD10099,4,349.06,69.47,1,CUST200031
2024-07-24,VUZZ,PRD10040,7,2959.63,436.53,1,CUST200015
